file,system_id,regime,num_atoms,iterations,wall_time_s,rmse_ang,pdf_mse,adf_mse,macewall_best_loss
CaC2_mp-684668_nanocrystalline_cell050_idx00001_seed001421001.npz,CaC2_mp-684668,nanocrystalline,7098,12,0.33805684093385935,0.18935651069059575,1867.793701171875,21.657258987426758,-45295.295889669986
CaC2_mp-684668_amorphous_cell050_idx00002_seed001421002.npz,CaC2_mp-684668,amorphous,6804,12,0.31288618710823357,0.18360297455596558,830.3389892578125,280.6003723144531,-40356.030770168014
CaC2_mp-684668_SRO_cell050_idx00003_seed001421003.npz,CaC2_mp-684668,SRO,6804,12,0.31404030602425337,0.1870540802649735,739.3009643554688,79.17574310302734,-41437.992808300194
CaC2_mp-684668_LRO_cell050_idx00004_seed001421004.npz,CaC2_mp-684668,LRO,6804,12,0.3194349550176412,0.1911147581322134,1517.5894775390625,26.486196517944336,-42531.24959551679
CaC2_mp-684668_MRO_cell050_idx00005_seed001421005.npz,CaC2_mp-684668,MRO,6507,12,0.2942928960546851,0.19189427766516395,1096.671142578125,33.131980895996094,-39563.58598518391
CaC2_mp-684668_crystalline_30_cell050_idx00006_seed001421006.npz,CaC2_mp-684668,crystalline_30,7248,12,0.35303911310620606,0.18751585904049478,2352.41943359375,14.730786323547363,-47239.558953133324
CaC2_mp-684668_nanocrystalline_cell050_idx00007_seed001421007.npz,CaC2_mp-684668,nanocrystalline,7098,12,0.33757088892161846,0.1887422285692777,1444.43310546875,26.01980972290039,-45123.070915217395
CaC2_mp-684668_amorphous_cell050_idx00008_seed001421008.npz,CaC2_mp-684668,amorphous,6804,12,0.3136915161740035,0.18424819142953625,830.2080688476562,232.63807678222656,-40395.37645794448
CaC2_mp-684668_SRO_cell050_idx00009_seed001421009.npz,CaC2_mp-684668,SRO,6804,12,0.3151078578084707,0.18724789831085176,843.9572143554688,60.75096893310547,-41360.89555628253
CaC2_mp-684668_LRO_cell050_idx00010_seed001421010.npz,CaC2_mp-684668,LRO,6804,12,0.3185949719045311,0.19177112832443718,1411.721923828125,22.27455711364746,-42409.80452292066
CaC2_mp-684668_MRO_cell050_idx00011_seed001421011.npz,CaC2_mp-684668,MRO,6507,12,0.2942464470397681,0.19186676637792133,847.2432250976562,32.199951171875,-39405.03423774277
CuS2_mp-1147712_crystalline_30_cell050_idx00000_seed001064000.npz,CuS2_mp-1147712,crystalline_30,6636,12,0.28549288981594145,0.21529877891007365,7205.685546875,14.794700622558594,-27046.881016643685
CuS2_mp-1147712_nanocrystalline_cell050_idx00001_seed001064001.npz,CuS2_mp-1147712,nanocrystalline,6498,12,0.27855430194176733,0.21831242038811133,4923.369140625,40.25027847290039,-26046.612278054246
CuS2_mp-1147712_amorphous_cell050_idx00002_seed001064002.npz,CuS2_mp-1147712,amorphous,6228,12,0.26634930982254446,0.22089216977289505,1225.3580322265625,516.7901611328125,-22978.16784935945
CuS2_mp-1147712_SRO_cell050_idx00003_seed001064003.npz,CuS2_mp-1147712,SRO,6228,12,0.2629205291159451,0.22173035888035245,1356.4434814453125,154.30836486816406,-23936.92936245441
CuS2_mp-1147712_LRO_cell050_idx00004_seed001064004.npz,CuS2_mp-1147712,LRO,6228,12,0.26082406914792955,0.22072940378019584,3058.964111328125,57.19542694091797,-24712.628511839812
CuS2_mp-1147712_MRO_cell050_idx00005_seed001064005.npz,CuS2_mp-1147712,MRO,5958,12,0.24347754381597042,0.22296500767207514,1708.8375244140625,84.51385498046875,-23168.03536243108
CuS2_mp-1147712_crystalline_30_cell050_idx00006_seed001064006.npz,CuS2_mp-1147712,crystalline_30,6636,12,0.28624973399564624,0.21749162817827666,6796.69189453125,43.17292022705078,-26911.033762140723
CuS2_mp-1147712_nanocrystalline_cell050_idx00007_seed001064007.npz,CuS2_mp-1147712,nanocrystalline,6498,12,0.27878693910315633,0.21947507375182135,4364.0361328125,54.10591125488281,-26048.34563755164
CuS2_mp-1147712_amorphous_cell050_idx00008_seed001064008.npz,CuS2_mp-1147712,amorphous,6228,12,0.26582075702026486,0.22128507407572096,1253.7412109375,572.4682006835938,-22972.439741580376
CuS2_mp-1147712_SRO_cell050_idx00009_seed001064009.npz,CuS2_mp-1147712,SRO,6228,12,0.26333993789739907,0.22106232251287983,1331.5115966796875,184.401123046875,-23916.05388605699
